frame_id,video_id,source_video,source_video_sha256,source_frame_index,target_seconds,actual_seconds,absolute_pts_seconds,timestamp_error_seconds,clockwise_rotation,width,height,relative_path,png_sha256,decoded_bgr_sha256,bytes,dhash64,brightness,focus_laplacian_variance,physical_tyre_id,original_group_id,mileage_proxy,label_status,split,review_status
phase2_video1_t0000000_f000000,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,0,0.0,0.0,0.0052,0.0,90,2160,3840,data/new_frames/video1/phase2_video1_t0000000_f000000.png,daaa8622e150c80da716bf37dc0773cf377aded47cf1baa322368be6160e776a,4657bb82005156c9c463f276940fc6e8e2d8d5752598e824fa43364f51e0ff4b,4865937,6540482140402106,122.6099853515625,429.76221469872524,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0000500_f000015,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,15,0.5,0.5,0.5052,0.0,90,2160,3840,data/new_frames/video1/phase2_video1_t0000500_f000015.png,65b07e53557df7a2fa53193371255d68d772c673d473a56cfdc5fb0649b31d9c,294bf5035b706dc6b0968f917bef367c286b7d100fb34222092eb23a2ee529f0,5573410,716044844440a10c,117.71375868055556,405.00694425606434,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0001000_f000030,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,30,1.0,1.0,1.0052,0.0,90,2160,3840,data/new_frames/video1/phase2_video1_t0001000_f000030.png,e081e44ac96dab1750f619eb2be9edac585a5dc878b13298e5a75c79c2bd49b3,393c7ab84ccc7754348a2d24e07a000569c0f6aedd6186104906bc26d5025a50,5382740,61454c145151251e,121.474853515625,548.9644930262899,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0001500_f000045,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,45,1.5,1.5,1.5052,0.0,90,2160,3840,data/new_frames/video1/phase2_video1_t0001500_f000045.png,efb9b525d1ea8302ecfef77f5ef13269008bd54a06796382c382a6eb9cdca049,cacd6f6fdcd8d76cd7a876daa93fde6bb822f141d21778dd13c3b6305a71b6ad,5070588,4151682060c9554a,117.87643771701389,458.5429483768013,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0002000_f000060,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,60,2.0,1.9999999999999998,2.0052,-2.220446049250313e-16,90,2160,3840,data/new_frames/video1/phase2_video1_t0002000_f000060.png,96c8139645dc25b8cd1b6597ee322e8059bf0d42c05fdc7ec3d44d2b60c36078,2da058ef4dfff033491d060ba79386c4225e2127a5f6b1c9124b1914d5e8439f,5402223,5054541c4444240c,111.07973904079861,239.71220348039526,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0002500_f000075,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,75,2.5,2.5,2.5052,0.0,90,2160,3840,data/new_frames/video1/phase2_video1_t0002500_f000075.png,c1ed72d14304e68c04b15e6059eeb569b4dc7b0a18e8541dba3c99ce94e73397,d5044f47104fb12d538ccf3f2c2a87929b0131cc3a23a5e174e717fe71cd3434,4814086,404448824a486a0a,118.18449571397569,179.60463051290975,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0003000_f000091,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,91,3.0,3.033233,3.038433,0.03323300000000007,90,2160,3840,data/new_frames/video1/phase2_video1_t0003000_f000091.png,c7b9d148be29169719dead2301b56824cb5cf57739f3735b3bf0d6d35709d511,af178f9c3da83cfe0f074b100dd1abd60e0255b445b59156ddef0634e9e87241,4409739,7148549454444421,119.78280978732639,374.66030449337427,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0003500_f000106,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,106,3.5,3.533233,3.538433,0.03323300000000007,90,2160,3840,data/new_frames/video1/phase2_video1_t0003500_f000106.png,76c09247738f92b04647f31e96943833f46d8cc97244fd0ff9e865813a2e6ae5,0b849e5aead14413693c1e7e39be7f22614e25c8c2abaa10652a626ec1c435d9,5269993,5341505004444422,110.51543511284723,390.48975013136675,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0004000_f000121,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,121,4.0,4.033233,4.038433,0.03323300000000007,90,2160,3840,data/new_frames/video1/phase2_video1_t0004000_f000121.png,96ca58f361632da1561a67a7d74fe214353d5b43370977b8757ba813f30e3d92,03b78f087eb182112cc2f45e01b41c2f507cb3a03d6d3cf5d02156e09b4cc545,5321075,535150d008444421,108.07210286458333,374.3727230970046,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0004500_f000136,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,136,4.5,4.533233,4.538433,0.03323300000000007,90,2160,3840,data/new_frames/video1/phase2_video1_t0004500_f000136.png,7089a4201616089f65982a523fa09f649204426c67538f24cab93e7a3c69e5d3,cb3a1d7df810921642757f8dc51c21699f0a7796ec2ff106de6e5dc266eeac8b,4851856,4151586450504845,104.65705023871527,423.69306253940783,,,,unlabelled,UNASSIGNED,pending
phase2_video1_t0005000_f000151,video1,video1.mp4,89cfae138fdf74f9cf2c13fcd22ad6979afb89b00101280fee48f71264296cf5,151,5.0,5.033233,5.038433,0.03323300000000007,90,2160,3840,data/new_frames/video1/phase2_video1_t0005000_f000151.png,8f14b5ff0571bfb3976d4a7f80b464b15b736dced9eb107eb2cdb66322800139,e4ca2865a98ef3eb96382233d253b980d1259fa46b8c22d6fac332bbfe7ef04a,5490375,4349505051504441,105.54768880208333,408.5202433562113,,,,unlabelled,UNASSIGNED,pending
